Match ID,Referee,Attendance,Kick Off,HT Score,Home Goals,Home RC events,Away Goals,Away RC events,Home Assists,Away Assists,King of the Match,Home Possession %,Away Possession %,Home Shots on target,Away Shots on target,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,Home Yellow cards,Away Yellow cards,Home Red cards,Away Red cards,Home Fouls conceded,Away Fouls conceded
46716,Mike Dean,"40,525",14:30,0-0,"Tammy Abraham 52'
Christian Pulisic 79'",,,,Willian 52',,Tammy Abraham,60.6,39.4,5,1,23,3,774,559,572,377,19,19,9,21,7,0,0,0,3,2,0,0,9,17
46713,Anthony Taylor,"21,011",19:30,0-1,Gerard Deulofeu 80' (pen),,"Tammy Abraham 5'
Christian Pulisic 55'",,,"Jorginho 5'
Tammy Abraham 55'",Tammy Abraham,32.8,67.2,3,10,12,16,555,991,373,793,16,16,20,17,1,6,0,0,4,2,0,0,8,5
46697,Michael Oliver,"20,975",19:30,0-2,"Jay Rodriguez 86'
Dwight McNeil 89'",,"Christian Pulisic 21', 45', 56'
Willian 58'",,"Robbie Brady 86', 89'","Willian 45'
Mason Mount 56'
Tammy Abraham 58'",Christian Pulisic,36.7,63.3,5,7,13,16,577,882,390,691,16,13,16,20,5,6,1,0,3,2,0,0,7,8
46687,Andre Marriner,"40,513",17:00,0-0,Marcos Alonso 73',,,,Callum Hudson-Odoi 73',,Marcos Alonso,71.1,28.9,8,0,16,5,851,441,634,258,23,12,16,31,11,0,1,1,2,1,0,0,9,12
46682,Paul Tierney,"31,473",16:00,1-3,Danny Ings 30',,"Tammy Abraham 17'
Mason Mount 24'
N'Golo Kanté 40'
Michy Batshuayi 89'",,,"Callum Hudson-Odoi 17'
Willian 24'
Marcos Alonso 40'
Christian Pulisic 89'",Tammy Abraham,43.3,56.7,3,7,10,13,585,715,400,528,23,19,12,19,3,4,1,0,0,1,0,0,8,15
46667,Chris Kavanagh,"40,683",17:00,0-0,"Jorginho 50' (pen)
Willian 76'",,,,Callum Hudson-Odoi 76',,Mason Mount,52.6,47.4,10,1,24,8,760,704,568,502,18,21,15,25,5,2,1,2,2,3,0,0,5,13
46657,Michael Oliver,"40,638",18:30,0-2,N'Golo Kanté 71',,"Trent Alexander-Arnold 14'
Roberto Firmino 30'",,César Azpilicueta 71',"Mohamed Salah 14'
Andrew Robertson 30'",Trent Alexander-Arnold,55,45,2,3,13,6,713,608,492,415,15,11,10,37,6,4,7,1,3,3,0,0,8,13
46654,Graham Scott,"31,534",17:00,0-3,"Tammy Abraham 69' (og) Own
Patrick Cutrone 85'",,"Fikayo Tomori 31'
Tammy Abraham 34', 41', 55'
Mason Mount 90 +6'",,,"Marcos Alonso 41'
Jorginho 55'
Michy Batshuayi 90 +6'",Tammy Abraham,45.3,54.7,4,6,11,15,648,781,449,555,17,20,12,28,7,5,1,1,1,2,0,0,8,11
46637,Stuart Attwell,"40,560",17:00,2-0,"Tammy Abraham 19', 43'",,"Callum Robinson 46'
Kurt Zouma 89' (og) Own",,,Enda Stevens 46',Tammy Abraham,62.3,37.7,5,2,13,8,898,595,719,429,16,15,15,24,3,4,2,0,0,1,0,0,6,11
46630,Martin Atkinson,"27,032",14:30,2-2,"Todd Cantwell 6'
Teemu Pukki 30'",,"Tammy Abraham 3', 68'
Mason Mount 17'",,"Teemu Pukki 6'
Emiliano Buendía 30'","César Azpilicueta 3'
Christian Pulisic 17'
Mateo Kovacic 68'",Tammy Abraham,46.6,53.4,5,8,6,23,682,766,481,543,16,26,29,9,1,8,0,0,1,1,0,0,9,9
46618,Graham Scott,"40,629",18:30,1-0,Mason Mount 7',,Wilfred Ndidi 67',,,James Maddison 67',Mason Mount,50.2,49.8,5,3,14,12,692,690,454,455,25,29,23,20,4,5,3,3,1,0,0,0,9,14
46613,Anthony Taylor,"73,620",18:30,1-0,"Marcus Rashford 18' (pen), 67'
Anthony Martial 65'
Daniel James 81'",,,,"Andreas Pereira 65'
Paul Pogba 67', 81'",,Marcus Rashford,46.2,53.8,5,7,11,18,649,730,449,523,16,21,19,11,3,5,2,0,3,4,0,0,15,13
